dpto_ccdgo;mpio_ccdgo;mpio_cdpmp;clas_ccdgo;setr_ccdgo;setr_ccnct;secr_ccdgo;secr_ccnct;zu_ccdgo;zu_cdivi;setu_ccdgo;setu_ccnct;secu_ccdgo;secu_ccnct;manz_ccdgo;manz_ccnct;manz_cag;tipo_ctstr;cod_ctstr;manz_nano;manz_nid;manz_nfe;manz_tipo;fuen_actlz;tipo_imgn;ano_fuente;tipo_actlz;ano_actlz;revi_campo;manz_narea;manz_lati;manz_long;shape_Leng;MANZ_VIV;FT_ACT_VIV;Shape_Le_1;Shape_Area;ID_unico;sum_22HOM;sum_23HOM;sum_24HOM;sum_25HOM;sum_22LP;sum_23LP;sum_24LP;sum_25LP;sum_22VI;sum_23VI;sum_24VI;sum_25VI;sum_22DS;sum_23DS;sum_24DS;sum_25DS;sum_22HP;sum_23HP;sum_24HP;sum_25HP;sum_22HR;sum_23HR;sum_24HR;sum_25HR;sum_22HC;sum_23HC;sum_24HC;sum_25HC;sum_22HA;sum_23HA;sum_24HA;sum_25HA;sum_22HM;sum_23HM;sum_24HM;sum_25HM;sum_22SS;sum_23SS;sum_24SS;sum_25SS;sum_22SE;sum_23SE;sum_24SE;sum_25SE;sum_22EX;sum_23EX;sum_24EX;sum_25EX;sum_22TR;sum_23TR;sum_24TR;sum_25TR;geom;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13.34739857;13.34736998; 13.3473540339616));;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
88;564;88564;2;8;885642008;1;88564200801;2;88564002;1;8.85642E+17;1;8.85642E+19;3;8.85642E+21;962192;IGAC;0;2023;NA;NA;NA;NA;NA;0;NA;0;NA;37153.86839;13.3313929;-81.38991731;0.007242492;45;FUENTES SECUNDARIAS 2020;0.007242492;3.05E-06;4045;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;list(c(-81.3892486148317;-81.38921138;-81.38916243;-81.38934014;-81.3893323;-81.38914874;-81.38909984;-81.38902161;-81.38896294;-81.38893356;-81.38892177;-81.38894123;-81.38897239;-81.38902698;-81.38910494;-81.38914967;-81.3891633;-81.38923165;-81.38928828;-81.38937812;-81.38950895;-81.38970616;-81.3898858;-81.39000492;-81.39012602;-81.3903175;-81.39037612; ;
-81.39043474;-81.39052265;-81.3906164;-81.39071018;-81.39077273;-81.39081381;-81.39083343;-81.39084328;-81.39084726;-81.39083951;-81.39081612;-81.39081036;-81.39083394;-81.39086916;-81.39098064;-81.39098458;-81.39095332;-81.3909201;-81.39089274;-81.39087125;-81.39084195;-81.39081265;-81.39078533;-81.39076779;-81.39073855;-81.39070933;-81.39069764; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-81.39064296;-81.39059999;-81.39056485;-81.39047507;-81.39036186;-81.39031108;-81.39024467;-81.39010209;-81.38995759;-81.38977793;-81.38957484;-81.38937175;-81.38928973;-81.38924861;13.33236993;13.33221885;13.33206778;13.33201026;13.33198349;13.33203527;13.33195115;13.3318307;13.33173511;13.3316261;13.33153621;13.33144439;13.33133534;13.33120714; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13.33097947;13.33074225;13.33067912;13.33066377;13.33065033;13.33062731;13.33058131;13.33050274;13.33042609;13.33038775;13.33038574;13.33046785;13.33049841;13.33052131;13.33053846;13.33052883;13.33055936;13.33061287;13.330697;13.33080793;13.33091886;13.33100493;13.33108336;13.33114841;13.33127657;13.33144487;13.33152901;13.33170489;13.33175271; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13.33174891;13.33172789;13.33170879;13.33170115;13.33169735;13.33170311;13.33172991;13.33177965;13.33186001;13.33195567;13.3319882;13.33200928;13.33200931;13.33202846;13.33212034;13.33221798;13.33222758;13.33222572;13.33224687;13.33228906;13.33234849;13.33240794;13.33247504;13.33249423; 13.3323699293288));;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
88;1;88001;1;0;880011000;0;88001100000;0;88001000;1;8.80011E+17;11;8.80011E+19;1;8.80011E+21;961337;IGAC;0;2023;NA;NA;NA;NA;NA;0;NA;0;NA;604.638223;12.58126223;-81.69254775;0.000895536;0;RECUENTO 2022;0.000895537;4.95E-08;6912;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;list(c(-81.6926778928704;-81.69263515;-81.69261784;-81.69260251;-81.6925862;-81.69257176;-81.69255312;-81.69252816;-81.6924782;-81.69241773;-81.69240101;-81.6923988;-81.69240178;-81.69241309;-81.69261862;-81.69265787;-81.69266822;-81.69268491;-81.69267789;12.58122544;12.58132715;12.58136682;12.58139228;12.58142687;12.58143102;12.58142301;12.58139476; ;
12.58133317;12.58124223;12.58121088;12.58118857;12.58117029;12.58116109;12.58116087;12.58116165;12.58116564;12.58119091; 12.5812254436993));;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
88;1;88001;2;4;880012004;1;88001200401;1;88001001;1;8.80012E+17;1;8.80012E+19;53;8.80012E+21;961905;IGAC;0;2023;NA;NA;NA;NA;NA;0;NA;0;NA;893.1354029;12.57139194;-81.71145259;0.001090631;12;FUENTES SECUNDARIAS 2020;0.001090631;7.30E-08;6913;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;list(c(-81.711356578843;-81.71134148;-81.711398;-81.71142222;-81.71145113;-81.71148039;-81.71151151;-81.71151838;-81.71153906;-81.71155272;-81.7115727;-81.71154027;-81.7115382;-81.71136363;-81.71135985;-81.71135658;12.57152745;12.5712545;12.5712141;12.57119679;12.57117612;12.57117634;12.57120059;12.57122864;12.57132415;12.57137546;12.57142639; ;
12.57158562;12.57159579;12.57155334;12.57153946; 12.5715274506314));;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
